epoch,accuracy,loss
0,0.7853874171154624,1368.234071418643
1,0.8475547115773745,986.5121345221996
2,0.8682875198455935,850.9064802154899
3,0.8883354605734209,734.6248731613159
4,0.8911060610777325,691.1626800820231
5,0.8982660399090994,665.5248858779669
6,0.9011611617843912,665.1479693725705
7,0.9131463437412446,599.3274800032377
8,0.9028110699498801,652.2169193252921
9,0.9167263331569281,565.4653827473521
10,0.9131152133984995,620.4904127493501
11,0.9184073716651621,615.6481209015474
12,0.9233570961616288,582.188610044308
13,0.9186564144071226,597.0798091068864
14,0.9245711795286866,603.3108841329813
15,0.924322136786726,585.9335004985332
16,0.9196214550322199,686.0293520316482
17,0.9223920555365315,624.175272449851
18,0.927653083460449,598.1075713559985
19,0.9225165769075118,650.8978373035789
