epoch,accuracy,loss
0,0.8562712075459951,904.1681616455317
1,0.8869034648071475,701.3542553856969
2,0.8937521402110638,668.0225886106491
3,0.9005696852722348,637.8209340721369
4,0.903184634062821,602.4724331870675
5,0.9019705506957632,622.8957279399037
6,0.9095974846683061,578.9387120455503
7,0.9073249696479159,576.4200652018189
8,0.9159169442455561,545.5427519567311
9,0.9147651215639884,557.9071118421853
10,0.9142359057373222,559.3947692215443
11,0.9139246023098714,544.6349416654557
12,0.9096286150110513,571.1823713742197
13,0.9053014973694861,597.4310322068632
14,0.9176291130965352,546.6896890364587
15,0.9165395511004576,554.4356169439852
16,0.9206176260000623,528.4396593943238
17,0.9190299785200635,542.4433703012764
18,0.918812066120848,550.6522683687508
19,0.9214892755969243,524.4249430652708
