epoch,accuracy,loss
0,0.8637736201475579,912.3406224101782
1,0.9159792049310463,553.3400854319334
2,0.9306415963639759,443.33708377182484
3,0.9377081841671077,398.80484350025654
4,0.9376147931388724,391.08884041011333
5,0.942471126607104,379.07842168956995
6,0.9446502505992591,364.54416739940643
7,0.946735983563179,371.37875387072563
8,0.9500357998941569,348.27706717979163
9,0.9432493851757308,390.3466980904341
10,0.9506895370918034,358.5736028845422
11,0.9491018896118046,355.6413483545184
12,0.9485415434423933,392.91126764565706
13,0.9495065840674906,398.10572595358826
14,0.9489462378980793,376.2728493139148
15,0.9506272764063133,368.3863113671541
16,0.9496311054384708,390.38711603189586
17,0.9518724901161162,372.78502532839775
18,0.9461445070510226,419.3827731467318
19,0.9439031223733774,488.1764924451709
