epoch,accuracy,loss
0,0.8520374809326651,919.7274008840322
1,0.9030601126918407,606.6304856464267
2,0.9177847648102606,520.5006020665169
3,0.9284313420290757,445.87293699383736
4,0.9332565451545621,421.4539960026741
5,0.9409457398125953,391.0028497874737
6,0.9448370326557295,369.6795746162534
7,0.9426890390063195,381.7817666074261
8,0.9474208511035707,352.1325676366687
9,0.9462378980792578,361.587336412631
10,0.9463312891074931,371.34722839295864
11,0.9483236310431777,383.78300858289003
12,0.9454285091678859,391.66146314819343
13,0.9498178874949413,364.16430041124113
14,0.9525884879992529,354.0447824448347
15,0.9518413597733711,363.89326563477516
16,0.9519347508016063,355.2555147781968
17,0.9510319708619992,378.497060097754
18,0.9516857080596457,369.63630409166217
19,0.9513121439467048,369.55815690010786
