epoch,accuracy,loss
0,0.8733306353702954,796.6248799711466
1,0.908663574385954,589.1896439790726
2,0.9169442455561436,524.8824642598629
3,0.9285869937428011,480.12759348005056
4,0.9331008934408368,441.5588740138337
5,0.93447062852162,470.9099660590291
6,0.9366497525137751,455.37893527187407
7,0.9387977461631852,471.9067535288632
8,0.9364318401145597,491.07496190071106
9,0.939077919247891,493.86383222584845
10,0.9381751393082838,500.7390424059704
11,0.9455841608816113,442.6046290099621
12,0.9445568595710239,441.9785019904375
13,0.9463624194502381,454.19095139205456
14,0.9427512996918096,491.73479025810957
15,0.9436852099741618,473.1824255287647
16,0.9451483360831803,488.00910863280296
17,0.9436540796314168,509.1940852647531
18,0.9485415434423933,454.73289953172207
19,0.9440276437443577,486.891245285864
